"report","tab","page_id","visual_id","uses_managers_direct","uses_managers_total","visual_path"
"Strategy Report.Report","Account Manager User Role Performance","ReportSection12f673ea22d93d640fb4","1a451821723d3415b59e","False","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Strategy Report.Report\definition\pages\ReportSection12f673ea22d93d640fb4\visuals\1a451821723d3415b59e\visual.json"
"Strategy Report.Report","Account Manager User Role Performance","ReportSection12f673ea22d93d640fb4","d051cbe0c3e3ebc2a3ed","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Strategy Report.Report\definition\pages\ReportSection12f673ea22d93d640fb4\visuals\d051cbe0c3e3ebc2a3ed\visual.json"
"Strategy Report.Report","Account Manager User Role Performance","ReportSection12f673ea22d93d640fb4","eb6ece281f5b8c4d0133","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Strategy Report.Report\definition\pages\ReportSection12f673ea22d93d640fb4\visuals\eb6ece281f5b8c4d0133\visual.json"
"Strategy Report.Report","Account Manager User Role Performance","ReportSection12f673ea22d93d640fb4","f8032ffaa53a07a1cbfe","False","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Strategy Report.Report\definition\pages\ReportSection12f673ea22d93d640fb4\visuals\f8032ffaa53a07a1cbfe\visual.json"
"Strategy Report.Report","Bookings History","ReportSection7536531a564a0674a972","94a0836479085a4f0945","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Strategy Report.Report\definition\pages\ReportSection7536531a564a0674a972\visuals\94a0836479085a4f0945\visual.json"
"Strategy Report.Report","Bookings History","ReportSection7536531a564a0674a972","94b048fae79817a04666","False","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Strategy Report.Report\definition\pages\ReportSection7536531a564a0674a972\visuals\94b048fae79817a04666\visual.json"
"Strategy Report.Report","Bookings History - by Booking Type","b2298fbfb64c37e2a75a","18d210a4aba7b7b58857","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Strategy Report.Report\definition\pages\b2298fbfb64c37e2a75a\visuals\18d210a4aba7b7b58857\visual.json"
"Strategy Report.Report","Bookings History - by Booking Type","b2298fbfb64c37e2a75a","917398cb10cbe33b74a6","False","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Strategy Report.Report\definition\pages\b2298fbfb64c37e2a75a\visuals\917398cb10cbe33b74a6\visual.json"
"Strategy Report.Report","Calibration","ReportSection5f1aac2b759aead4e65f","2476ae436689587e797d","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Strategy Report.Report\definition\pages\ReportSection5f1aac2b759aead4e65f\visuals\2476ae436689587e797d\visual.json"
"Strategy Report.Report","Calibration","ReportSection5f1aac2b759aead4e65f","f4e70a20b739d4095b65","False","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Strategy Report.Report\definition\pages\ReportSection5f1aac2b759aead4e65f\visuals\f4e70a20b739d4095b65\visual.json"
"Strategy Report.Report","Churn by Segmentation","696d661f070dd41a7206","1ec73a32d31c31067562","False","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Strategy Report.Report\definition\pages\696d661f070dd41a7206\visuals\1ec73a32d31c31067562\visual.json"
"Strategy Report.Report","Churn by Segmentation","696d661f070dd41a7206","216ab1f65902c2aa0370","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Strategy Report.Report\definition\pages\696d661f070dd41a7206\visuals\216ab1f65902c2aa0370\visual.json"
"Strategy Report.Report","Churn History","ReportSection794587a77f471f93741e","6458df7e2c3fa8c0528a","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Strategy Report.Report\definition\pages\ReportSection794587a77f471f93741e\visuals\6458df7e2c3fa8c0528a\visual.json"
"Strategy Report.Report","Churn History","ReportSection794587a77f471f93741e","71687afabc644a5955b9","False","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Strategy Report.Report\definition\pages\ReportSection794587a77f471f93741e\visuals\71687afabc644a5955b9\visual.json"
