"measure","inbound_measure_refs","dependent_measures","report_refs","visual_refs"
"meas.ssr_history_time_effort_conf","0","","0","0"
"meas.ssr_history_time_effort_src","0","","0","0"
"meas.ssr_history_top_250_leads","0","","0","0"
"meas.ssr_history_total_all_dur_hrs","0","","0","0"
"meas.ssr_history_touched_accounts_rate","0","","0","0"
"meas.ssr_history_unique_reps_avg_count","0","","0","0"
"meas.ssr_history_unique_reps_count_prospecting","0","","0","0"
"meas.ssr_history_unsuccessful_count","0","","0","0"
"meas.ssr_history_vi_value_created_per_hr","0","","0","0"
"meas.ssr_history_vi_value_created_per_rep","0","","0","0"
"meas.ssr_history_win_rate_diff","0","","0","0"
"meas.ssr_history_won_amt_diff","0","","0","0"
"meas.ssr_history_won_amt_sply_diff","0","","0","0"
"meas.ssr_history_won_count_diff","0","","0","0"
"meas.ssr_leads_time_to_touch_days","0","","0","0"
"meas.ssr_open_lead_crm_leadsource","0","","0","0"
"meas.ssr_open_leads_accts_name","0","","0","0"
"meas.ssr_open_leads_accts_potential_acv","0","","0","0"
"meas.ssr_open_leads_avg_prediction_conv_rate","0","","0","0"
"meas.ssr_open_leads_count","0","","0","0"
"meas.ssr_open_trueai_industry","0","","0","0"
"meas.ssr_total_abandoned_leads_count","0","","0","0"
"meas.ssr_total_ignored_leads_count","0","","0","0"
"meas.ssr_total_open_leads_count","0","","0","0"
"meas.ssr_total_untouched_leads_count","0","","0","0"
"meas.step_outcome","0","","0","0"
"meas.step_owner_group","0","","0","0"
"meas.step_users_total","0","","0","0"
"meas.stkhlds_all_contacts_count","0","","0","0"
"meas.stkhlds_all_first_act","0","","0","0"
"meas.stkhlds_all_last_act","0","","0","0"
"meas.stkhlds_all_last_act_days","0","","0","0"
"meas.stkhlds_all_last_eng","0","","0","0"
"meas.stkhlds_all_non_eng_counts","0","","0","0"
"meas.stkhlds_primary_contact_card_title","0","","0","0"
"meas.stkhlds_primary_contact_first_eng","0","","0","0"
"meas.stkhlds_primary_contact_last_act","0","","0","0"
"meas.stkhlds_primary_contact_last_eng","0","","0","0"
"meas.stkhlds_primary_contact_seniority","0","","0","0"
"meas.stkhlds_primary_contact_title_department","0","","0","0"
"meas.stkhlds_primary_last_act","0","","0","0"
"meas.stkhlds_seconary_contact_title","0","","0","0"
"meas.stkhlds_secondary_contact_card_title","0","","0","0"
"meas.stkhlds_secondary_contact_first_act","0","","0","0"
"meas.stkhlds_secondary_contact_first_eng","0","","0","0"
"meas.stkhlds_secondary_contact_last_act","0","","0","0"
"meas.stkhlds_secondary_contact_last_eng","0","","0","0"
"meas.stkhlds_secondary_contact_title_department","0","","0","0"
"meas.stkhlds_secondary_last_act","0","","0","0"
"meas.ta_ssr_history_all_activity_engagement_rate","0","","0","0"
"meas.ta_ssr_history_all_email_engagement_rate","0","","0","0"
"meas.ta_ssr_history_all_meeting_engagement_rate","0","","0","0"
"meas.ta_ssr_history_all_phone_call_engagement_rate","0","","0","0"
"meas.ta_ssr_history_all_social_media_engagement_rate","0","","0","0"
"meas.test_done.average_duration_hrs","0","","0","0"
"meas.tot_lost_amt_opps","0","","0","0"
"meas.tot_pushed_pulled_close_date","0","","0","0"
"meas.tot_won_amt_opps","0","","0","0"
"meas.total_opps_count_dist","0","","0","0"
"meas.total_opps_won_amt","0","","0","0"
"meas.total_won_opps","0","","0","0"
"meas.trueai_addr_city","0","","0","0"
"meas.trueai_addr_state","0","","0","0"
"meas.trueai_company_size","0","","0","0"
"meas.trueai_curr_acv","0","","0","0"
"meas.trueai_first_purchase","0","","0","0"
"meas.trueai_leadsource_name","0","","0","0"
"meas.trueai_propensity","0","","0","0"
"meas.user_history_active_hire_date","0","","0","0"
"meas.users_overview_avg_pred_conv_rate_diff","0","","0","0"
"meas.users_overview_win_rate_diff","0","","0","0"
"meas.users_spent_weekly_avg_non_eng_dur_hr_mtd","0","","0","0"
"meas.users_weekly_avg_eng_rate_mtd","0","","0","0"
"meas.users_weekly_avg_eng_rate_qtd","0","","0","0"
"meas.users_weekly_avg_eng_rate_ytd","0","","0","0"
"meas.users_weekly_avg_non_eng_dur_hr_mtd","0","","0","0"
"meas.users_weekly_avg_non_eng_dur_hr_qtd","0","","0","0"
"meas.users_weekly_avg_non_eng_dur_hr_ytd","0","","0","0"
"meas.users_weekly_existing_customer_selling_avg_dur_hr_mtd","0","","0","0"
"meas.users_weekly_existing_customer_selling_avg_dur_hr_mtd_sply","0","","0","0"
"meas.users_weekly_existing_customer_selling_avg_dur_hr_qtd","0","","0","0"
"meas.users_weekly_existing_customer_selling_avg_dur_hr_qtd_sply","0","","0","0"
"meas.users_weekly_existing_customer_selling_avg_dur_hr_ytd","0","","0","0"
"meas.users_weekly_existing_customer_selling_avg_dur_hr_ytd_sply","0","","0","0"
"meas.users_weekly_internal_avg_dur_hr_mtd","0","","0","0"
"meas.users_weekly_internal_avg_dur_hr_mtd_sply","0","","0","0"
"meas.users_weekly_internal_avg_dur_hr_qtd","0","","0","0"
"meas.users_weekly_internal_avg_dur_hr_qtd_sply","0","","0","0"
"meas.users_weekly_internal_avg_dur_hr_ytd","0","","0","0"
"meas.users_weekly_internal_avg_dur_hr_ytd_sply","0","","0","0"
"meas.users_weekly_new_logo_avg_dur_hr_mtd","0","","0","0"
"meas.users_weekly_new_logo_avg_dur_hr_mtd_sply","0","","0","0"
"meas.users_weekly_new_logo_avg_dur_hr_qtd","0","","0","0"
"meas.users_weekly_new_logo_avg_dur_hr_qtd_sply","0","","0","0"
"meas.users_weekly_new_logo_avg_dur_hr_ytd","0","","0","0"
"meas.users_weekly_new_logo_avg_dur_hr_ytd_sply","0","","0","0"
"meas.users_weekly_post_sales_avg_dur_hr_mtd","0","","0","0"
